iter	RMSE
0	8.857701691
1	8.399215702
2	8.194449883
3	8.112460962
4	8.062231079
5	8.009690884
6	7.988405879
7	7.963906828
8	7.951619351
9	7.943693503
10	7.936850493
11	7.923260612
12	7.908546459
13	7.897236825
14	7.87772457
15	7.872399
16	7.865452963
17	7.855666133
18	7.849480898
19	7.841446616
20	7.837614788
21	7.834563726
22	7.82873539
23	7.821860521
24	7.816596442
25	7.810303987
26	7.807907583
27	7.803929032
28	7.797342968
29	7.793870464
30	7.789744036
31	7.784571238
32	7.78164932
33	7.776631805
34	7.773296086
35	7.769830034
36	7.767104413
37	7.763452059
38	7.761441567
39	7.756377047
40	7.754047832
41	7.75228014
42	7.750637931
43	7.748005947
44	7.743423875
45	7.740819311
46	7.738764732
47	7.736997507
48	7.735287323
49	7.732472661
50	7.731383783
51	7.728796816
52	7.727640533
53	7.726309269
54	7.722493116
55	7.721481659
56	7.719950941
57	7.718910495
58	7.716832673
59	7.71463488
60	7.713158512
61	7.711305197
62	7.709858884
63	7.707873499
64	7.706727766
65	7.705827109
66	7.70461327
67	7.703764219
68	7.702385606
69	7.70154551
70	7.700732139
71	7.699601152
72	7.698874433
73	7.69803927
74	7.696686038
75	7.695531247
76	7.693663644
77	7.692735666
78	7.69105667
79	7.689996933
