iter	Passed	Remaining
0	27	2153
1	50	1969
2	74	1915
3	96	1842
4	117	1759
5	141	1742
6	164	1718
7	185	1669
8	209	1649
9	230	1613
10	252	1584
11	276	1568
12	297	1535
13	322	1518
14	340	1476
15	361	1447
16	381	1413
17	403	1388
18	421	1351
19	442	1328
20	461	1296
21	479	1264
22	499	1239
23	518	1209
24	538	1184
25	554	1152
26	572	1124
27	592	1100
28	614	1081
29	635	1059
30	657	1039
31	676	1015
32	695	990
33	716	969
34	736	946
35	754	922
36	775	901
37	796	880
38	820	862
39	840	840
40	863	821
41	883	799
42	907	780
43	929	760
44	949	738
45	970	717
46	991	695
47	1012	674
48	1031	652
49	1053	631
50	1071	609
51	1091	587
52	1113	567
53	1135	546
54	1156	525
55	1176	504
56	1194	481
57	1214	460
58	1234	439
59	1253	417
60	1272	396
61	1293	375
62	1314	354
63	1338	334
64	1359	313
65	1380	292
66	1401	272
67	1421	250
68	1439	229
69	1458	208
70	1476	187
71	1496	166
72	1515	145
73	1533	124
74	1556	103
75	1575	82
76	1596	62
77	1616	41
78	1640	20
79	1662	0
